Fecha,Ticker,Tipo,Precio,Cantidad,Notas
22/05/2026,ROVI.MC,COMPRA,59.4,84,Entrada inicial
02/01/2026,ELE.MC,COMPRA,30.88,129,Entrada inicial
29/12/2025,IBE.MC,COMPRA,18.341,217,Entrada inicial
29/03/2021,CABK.MC,COMPRA,4.883,684,Bancaja
05/12/2016,CABK.MC,COMPRA,0,14,Remuneración accionista
18/03/2016,CABK.MC,COMPRA,0,16,Remuneración accionista
03/10/2015,CABK.MC,COMPRA,0,10,Remuneración accionista
14/03/2015,CABK.MC,COMPRA,0,10,Remuneración accionista
06/12/2014,CABK.MC,COMPRA,0,12,Remuneración accionista
09/11/2014,CABK.MC,COMPRA,4.145,1001,Entrada inicial
